wallet_id,cluster_id
synthetic_wallet_000001,-1
synthetic_wallet_000002,-1
synthetic_wallet_000003,-1
synthetic_wallet_000004,-1
synthetic_wallet_000005,-1
synthetic_wallet_000006,-1
synthetic_wallet_000007,-1
synthetic_wallet_000008,-1
synthetic_wallet_000009,-1
synthetic_wallet_000010,-1
synthetic_wallet_000011,-1
synthetic_wallet_000012,-1
synthetic_wallet_000013,-1
synthetic_wallet_000014,-1
synthetic_wallet_000015,-1
synthetic_wallet_000016,-1
synthetic_wallet_000017,-1
synthetic_wallet_000018,-1
synthetic_wallet_000019,-1
synthetic_wallet_000020,-1
synthetic_wallet_000021,-1
synthetic_wallet_000022,-1
synthetic_wallet_000023,-1
synthetic_wallet_000024,-1
synthetic_wallet_000025,-1
synthetic_wallet_000026,-1
synthetic_wallet_000027,-1
synthetic_wallet_000028,-1
synthetic_wallet_000029,-1
synthetic_wallet_000030,-1
synthetic_wallet_000031,-1
synthetic_wallet_000032,-1
synthetic_wallet_000033,-1
synthetic_wallet_000034,-1
synthetic_wallet_000035,-1
synthetic_wallet_000036,-1
synthetic_wallet_000037,-1
synthetic_wallet_000038,-1
synthetic_wallet_000039,-1
synthetic_wallet_000040,-1
synthetic_wallet_000041,-1
synthetic_wallet_000042,-1
synthetic_wallet_000043,-1
synthetic_wallet_000044,-1
synthetic_wallet_000045,-1
synthetic_wallet_000046,-1
synthetic_wallet_000047,-1
synthetic_wallet_000048,-1
synthetic_wallet_000049,-1
synthetic_wallet_000050,-1
synthetic_wallet_000051,-1
synthetic_wallet_000052,-1
synthetic_wallet_000053,-1
synthetic_wallet_000054,-1
synthetic_wallet_000055,-1
synthetic_wallet_000056,-1
synthetic_wallet_000057,-1
synthetic_wallet_000058,-1
synthetic_wallet_000059,-1
synthetic_wallet_000060,-1
synthetic_wallet_000061,-1
synthetic_wallet_000062,-1
synthetic_wallet_000063,-1
synthetic_wallet_000064,-1
synthetic_wallet_000065,-1
synthetic_wallet_000066,-1
synthetic_wallet_000067,-1
synthetic_wallet_000068,-1
synthetic_wallet_000069,-1
synthetic_wallet_000070,-1
synthetic_wallet_000071,-1
synthetic_wallet_000072,-1
synthetic_wallet_000073,-1
synthetic_wallet_000074,-1
synthetic_wallet_000075,-1
synthetic_wallet_000076,-1
synthetic_wallet_000077,-1
synthetic_wallet_000078,-1
synthetic_wallet_000079,-1
synthetic_wallet_000080,-1
synthetic_wallet_000081,-1
synthetic_wallet_000082,-1
synthetic_wallet_000083,-1
synthetic_wallet_000084,-1
synthetic_wallet_000085,-1
synthetic_wallet_000086,-1
synthetic_wallet_000087,-1
synthetic_wallet_000088,-1
synthetic_wallet_000089,-1
synthetic_wallet_000090,-1
synthetic_wallet_000091,-1
synthetic_wallet_000092,-1
synthetic_wallet_000093,-1
synthetic_wallet_000094,-1
synthetic_wallet_000095,-1
synthetic_wallet_000096,-1
synthetic_wallet_000097,-1
synthetic_wallet_000098,-1
synthetic_wallet_000099,-1
synthetic_wallet_000100,-1
synthetic_wallet_000101,-1
synthetic_wallet_000102,-1
synthetic_wallet_000103,-1
synthetic_wallet_000104,-1
synthetic_wallet_000105,-1
synthetic_wallet_000106,-1
synthetic_wallet_000107,-1
synthetic_wallet_000108,-1
synthetic_wallet_000109,-1
synthetic_wallet_000110,-1
synthetic_wallet_000111,-1
synthetic_wallet_000112,-1
synthetic_wallet_000113,-1
synthetic_wallet_000114,-1
synthetic_wallet_000115,-1
synthetic_wallet_000116,-1
synthetic_wallet_000117,-1
synthetic_wallet_000118,-1
synthetic_wallet_000119,-1
synthetic_wallet_000120,-1
synthetic_wallet_000121,-1
synthetic_wallet_000122,-1
synthetic_wallet_000123,-1
synthetic_wallet_000124,-1
synthetic_wallet_000125,-1
synthetic_wallet_000126,-1
synthetic_wallet_000127,-1
synthetic_wallet_000128,-1
synthetic_wallet_000129,-1
synthetic_wallet_000130,-1
synthetic_wallet_000131,-1
synthetic_wallet_000132,-1
synthetic_wallet_000133,-1
synthetic_wallet_000134,-1
synthetic_wallet_000135,-1
synthetic_wallet_000136,-1
synthetic_wallet_000137,-1
synthetic_wallet_000138,-1
synthetic_wallet_000139,-1
synthetic_wallet_000140,-1
synthetic_wallet_000141,-1
synthetic_wallet_000142,-1
synthetic_wallet_000143,-1
synthetic_wallet_000144,-1
synthetic_wallet_000145,-1
synthetic_wallet_000146,-1
synthetic_wallet_000147,-1
synthetic_wallet_000148,-1
synthetic_wallet_000149,-1
synthetic_wallet_000150,-1
synthetic_wallet_000151,-1
synthetic_wallet_000152,-1
synthetic_wallet_000153,-1
synthetic_wallet_000154,-1
synthetic_wallet_000155,-1
synthetic_wallet_000156,-1
synthetic_wallet_000157,-1
synthetic_wallet_000158,-1
synthetic_wallet_000159,-1
synthetic_wallet_000160,-1
synthetic_wallet_000161,-1
synthetic_wallet_000162,-1
synthetic_wallet_000163,-1
synthetic_wallet_000164,-1
synthetic_wallet_000165,-1
synthetic_wallet_000166,-1
synthetic_wallet_000167,-1
synthetic_wallet_000168,-1
synthetic_wallet_000169,-1
synthetic_wallet_000170,-1
synthetic_wallet_000171,-1
synthetic_wallet_000172,-1
synthetic_wallet_000173,-1
synthetic_wallet_000174,-1
synthetic_wallet_000175,-1
synthetic_wallet_000176,-1
synthetic_wallet_000177,-1
synthetic_wallet_000178,-1
synthetic_wallet_000179,-1
synthetic_wallet_000180,-1
synthetic_wallet_000181,-1
synthetic_wallet_000182,-1
synthetic_wallet_000183,-1
synthetic_wallet_000184,-1
synthetic_wallet_000185,-1
synthetic_wallet_000186,-1
synthetic_wallet_000187,-1
synthetic_wallet_000188,-1
synthetic_wallet_000189,-1
synthetic_wallet_000190,-1
synthetic_wallet_000191,-1
synthetic_wallet_000192,-1
synthetic_wallet_000193,-1
synthetic_wallet_000194,-1
synthetic_wallet_000195,-1
synthetic_wallet_000196,-1
synthetic_wallet_000197,-1
synthetic_wallet_000198,-1
synthetic_wallet_000199,-1
synthetic_wallet_000200,-1
synthetic_wallet_000201,-1
synthetic_wallet_000202,-1
synthetic_wallet_000203,-1
synthetic_wallet_000204,-1
synthetic_wallet_000205,-1
synthetic_wallet_000206,-1
synthetic_wallet_000207,-1
synthetic_wallet_000208,-1
synthetic_wallet_000209,-1
synthetic_wallet_000210,-1
synthetic_wallet_000211,-1
synthetic_wallet_000212,-1
synthetic_wallet_000213,-1
synthetic_wallet_000214,-1
synthetic_wallet_000215,-1
synthetic_wallet_000216,-1
synthetic_wallet_000217,-1
synthetic_wallet_000218,-1
